propertyTaskProcedureId,propertyTaskProcedureId,propertyTaskId,proceduresId,sequenceOrder
640,640,23,55,1
641,641,23,47,2
642,642,23,48,3
643,643,24,52,1
644,644,24,47,2
645,645,24,48,3
646,646,26,49,1
647,647,26,47,2
648,648,26,48,3
649,649,27,49,1
650,650,27,47,2
651,651,27,48,3
652,652,28,49,1
653,653,28,47,2
654,654,28,48,3
655,655,29,49,1
656,656,29,47,2
657,657,29,48,3
658,658,30,58,1
659,659,31,69,1
660,660,31,68,2
661,661,31,47,3
662,662,31,72,4
663,663,32,69,1
664,664,32,47,2
665,665,33,69,1
666,666,33,47,2
667,667,34,69,1
668,668,34,47,2
669,669,35,69,1
670,670,35,47,2
671,671,36,69,1
672,672,36,47,2
673,673,37,69,1
674,674,37,47,2
675,675,38,69,1
676,676,38,47,2
677,677,39,69,1
678,678,39,47,2
679,679,40,69,1
680,680,40,47,2
681,681,41,69,1
682,682,41,47,2
683,683,42,69,1
684,684,42,47,2
685,685,43,69,1
686,686,43,47,2
687,687,44,69,1
688,688,44,47,2
689,689,45,69,1
690,690,45,47,2
691,691,46,69,1
692,692,46,47,2
693,693,47,69,1
694,694,47,47,2
695,695,48,69,1
696,696,48,47,2
697,697,49,69,1
698,698,49,68,2
699,699,49,47,3
700,700,49,72,4
701,701,50,69,1
702,702,50,68,2
703,703,50,47,3
704,704,50,72,4
705,705,51,58,1
706,706,52,69,1
707,707,52,68,2
708,708,52,47,3
709,709,52,72,4
710,710,53,69,1
711,711,53,68,2
712,712,53,47,3
713,713,53,72,4
714,714,54,55,1
715,715,54,47,2
716,716,54,48,3
717,717,55,55,1
718,718,55,47,2
719,719,55,48,3
720,720,56,55,1
721,721,56,47,2
722,722,56,48,3
723,723,57,97,1
724,724,57,47,2
725,725,57,62,3
726,726,58,97,1
727,727,58,47,2
728,728,58,62,3
729,729,59,97,1
730,730,59,47,2
731,731,59,62,3
732,732,60,55,1
733,733,60,47,2
734,734,60,48,3
735,735,61,55,1
736,736,61,47,2
737,737,61,48,3
738,738,62,55,1
739,739,62,47,2
740,740,62,48,3
741,741,63,55,1
742,742,63,47,2
743,743,63,48,3
744,744,64,55,1
745,745,64,47,2
746,746,64,48,3
747,747,65,55,1
748,748,65,47,2
749,749,65,48,3
750,750,66,55,1
751,751,66,47,2
752,752,66,48,3
753,753,67,55,1
754,754,67,47,2
755,755,67,48,3
756,756,68,55,1
757,757,68,47,2
758,758,68,48,3
759,759,69,55,1
760,760,69,47,2
761,761,69,48,3
762,762,70,55,1
763,763,70,47,2
764,764,70,48,3
765,765,71,55,1
766,766,71,47,2
767,767,71,48,3
768,768,72,55,1
769,769,72,47,2
770,770,72,48,3
771,771,73,55,1
772,772,73,47,2
773,773,73,48,3
774,774,74,55,1
775,775,74,47,2
776,776,74,48,3
777,777,75,55,1
778,778,75,47,2
779,779,75,48,3
780,780,76,55,1
781,781,76,47,2
782,782,76,48,3
783,783,77,55,1
784,784,77,47,2
785,785,77,48,3
786,786,78,55,1
787,787,78,47,2
788,788,78,48,3
789,789,79,55,1
790,790,79,47,2
791,791,79,48,3
792,792,80,55,1
793,793,80,47,2
794,794,80,48,3
795,795,81,55,1
796,796,81,47,2
797,797,81,48,3
798,798,82,55,1
799,799,82,47,2
800,800,82,48,3
801,801,83,55,1
802,802,83,47,2
803,803,83,48,3
804,804,84,55,1
805,805,84,47,2
806,806,84,48,3
807,807,85,55,1
808,808,85,47,2
809,809,85,48,3
810,810,86,55,1
811,811,86,47,2
812,812,86,48,3
813,813,87,55,1
814,814,87,47,2
815,815,87,48,3
816,816,88,55,1
817,817,88,47,2
818,818,88,48,3
819,819,89,55,1
820,820,89,47,2
821,821,89,48,3
822,822,90,69,1
823,823,90,68,2
824,824,90,47,3
825,825,90,72,4
826,826,91,58,1
827,827,92,58,1
828,828,93,58,1
829,829,94,76,1
830,830,95,58,1
831,831,96,76,1
832,832,97,57,1
833,833,97,58,2
834,834,98,58,1
835,835,103,69,1
836,836,103,47,2
837,837,104,69,1
838,838,104,47,2
839,839,105,75,1
840,840,106,75,1
841,841,107,75,1
842,842,108,75,1
843,843,109,75,1
844,844,110,75,1
845,845,111,75,1
846,846,112,75,1
847,847,113,75,1
848,848,114,75,1
849,849,115,55,1
850,850,115,47,2
851,851,115,48,3
852,852,116,55,1
853,853,116,47,2
854,854,116,48,3
855,855,117,55,1
856,856,117,47,2
857,857,117,48,3
858,858,118,55,1
859,859,118,47,2
860,860,118,48,3
861,861,119,97,1
862,862,119,47,2
863,863,119,62,3
864,864,120,97,1
865,865,120,47,2
866,866,120,62,3
867,867,121,100,1
869,869,121,47,2
868,868,121,63,3
870,870,122,100,1
871,871,122,47,2
872,872,122,63,3
873,873,123,52,1
874,874,123,47,2
875,875,123,63,3
876,876,125,58,1
877,877,126,76,1
878,878,127,49,1
879,879,127,47,2
880,880,127,82,3
881,881,128,100,1
882,882,128,47,2
883,883,128,63,3
884,884,129,100,1
885,885,129,47,2
886,886,129,63,3
887,887,130,55,1
888,888,130,47,2
889,889,130,77,3
890,890,131,55,1
891,891,131,47,2
892,892,131,77,3
893,893,132,57,1
894,894,132,58,2
895,895,133,57,1
896,896,133,58,2
897,897,134,57,1
898,898,134,58,2
899,899,135,57,1
900,900,135,58,2
901,901,136,57,1
902,902,136,58,2
903,903,137,57,1
904,904,137,58,2
905,905,138,57,1
906,906,138,58,2
907,907,139,57,1
908,908,139,58,2
909,909,140,69,1
910,910,140,47,2
911,911,141,69,1
912,912,141,47,2
913,913,142,69,1
914,914,142,47,2
915,915,143,69,1
916,916,143,47,2
917,917,144,69,1
918,918,144,47,2
919,919,145,69,1
920,920,145,47,2
921,921,146,69,1
922,922,146,47,2
923,923,147,69,1
924,924,147,47,2
925,925,148,57,1
926,926,148,58,2
927,927,149,57,1
928,928,149,58,2
929,929,151,52,1
930,930,151,47,2
931,931,151,63,3
932,932,152,52,1
933,933,152,47,2
934,934,152,48,3
935,935,153,52,1
936,936,153,47,2
937,937,153,48,3
938,938,154,52,1
939,939,154,47,2
940,940,154,63,3
941,941,155,57,1
942,942,155,58,2
943,943,156,57,1
944,944,156,58,2
945,945,157,46,1
946,946,157,47,2
947,947,157,48,3
948,948,158,52,1
949,949,158,47,2
950,950,158,48,3
951,951,159,58,1
952,952,160,102,1
953,953,160,93,2
954,954,161,102,1
955,955,161,93,2
956,956,162,69,1
957,957,162,68,2
958,958,162,47,3
959,959,162,72,4
960,960,163,69,1
961,961,163,68,2
962,962,163,47,3
963,963,163,72,4
964,964,164,69,1
965,965,164,68,2
966,966,164,47,3
967,967,164,72,4
968,968,165,69,1
969,969,165,68,2
970,970,165,47,3
971,971,165,72,4
972,972,166,69,1
973,973,166,68,2
974,974,166,47,3
975,975,166,72,4
976,976,167,75,1
977,977,168,75,1
978,978,169,75,1
979,979,170,75,1
980,980,171,75,1
981,981,172,75,1
982,982,173,75,1
983,983,174,69,1
984,984,174,68,2
985,985,174,47,3
986,986,174,72,4
987,987,175,69,1
988,988,175,68,2
989,989,175,47,3
990,990,175,72,4
991,991,176,69,1
992,992,176,68,2
993,993,176,47,3
994,994,176,72,4
995,995,177,58,1
996,996,178,58,1
997,997,179,58,1
998,998,180,100,1
999,999,180,47,2
1000,1000,180,63,3
1001,1001,181,49,1
1002,1002,181,47,2
1003,1003,181,48,3
1004,1004,182,49,1
1005,1005,182,47,2
1006,1006,182,62,3
1007,1007,183,75,1
1008,1008,184,75,1
1009,1009,185,75,1
1010,1010,186,75,1
1011,1011,187,75,1
1012,1012,188,75,1
1013,1013,189,75,1
1014,1014,190,75,1
1015,1015,191,75,1
1016,1016,192,75,1
1017,1017,194,55,1
1018,1018,194,47,2
1019,1019,194,50,3
1020,1020,195,55,1
1021,1021,195,47,2
1022,1022,195,50,3
1023,1023,196,55,1
1024,1024,196,47,2
1025,1025,196,50,3
